productname,stars,reviews,currentprice,MRP,imageurl
Save up to 28% with GST invoice and get bulk discountsLearn more,0,0,0,0,https://m.media-amazon.com/images/G/31/img17/AmazonBusiness/Acquistion/searchsparkle_1314_772_0409_tt._CB1198675309_QL95_SY80_.jpg
Best sellerin Casual Daypacks  Skybags Brat Black,4.1  stars,5,015,599,₹599,https://m.media-amazon.com/images/I/810s53kR8tL._AC_UY218_.jpg
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),4.0  stars,55,196,1199,₹1199,https://m.media-amazon.com/images/I/81KEKEDFUcL._AC_UY218_.jpg
American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER,4.3  stars,422,1299,₹1299,https://m.media-amazon.com/images/I/913C9PlkyfL._AC_UY218_.jpg
MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent,4.1  stars,64,310,₹310,https://m.media-amazon.com/images/I/61HQucBUbEL._AC_UL400_.jpg
Presto! Oxo-Biodegradable Garbage Bags, Large (2,4.3  stars,29,338,329,₹329,https://m.media-amazon.com/images/I/71-2fEBGZDL._AC_UL400_.jpg
Best sellerin Home & Kitchen  Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bagsroll (Pack of 6, Black),4.3  stars,33,032,319,₹319,https://m.media-amazon.com/images/I/71hP1JEHDFL._AC_UL400_.jpg
AmazonBasics Laptop Backpack,4.2  stars,610,709,₹709,https://m.media-amazon.com/images/I/A1gdFsm5lGL._AC_UL400_.jpg
Blue Tree 10 liters Kids Backpack Mini Travel Bag 1-6 Years SPIDER,4.0  stars,1,108,285,₹285,https://m.media-amazon.com/images/I/41uzZhAEYIL._AC_UL400_.jpg
Best sellerin Camera Cases  DYAZO Water Resistant Camera BagCase Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLRDSLR etc (Black & Silver),4.4  stars,309,805,₹805,https://m.media-amazon.com/images/I/61G5TNojbTL._AC_UL400_.jpg
AmazonBasics 20-Inch Carry-on, Orange,4.5  stars,102,3529,₹3529,https://m.media-amazon.com/images/I/81Lr0B+puaL._AC_UL400_.jpg
Blue Tree Velvet Kids SchoolNurseryPicnicCarryTravelling Bag - 2 to 5 Age (_Best_Red_Strawberry),4.0  stars,213,285,₹285,https://m.media-amazon.com/images/I/41gUwTRRAgL._AC_UL400_.jpg
Amazon's Choicefor "bags"  Wesley Milestone 2.0 Casual Waterproof Laptop BackpackOffice BagSchool BagCollege BagBusiness BagTravel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),4.3  stars,11,570,550,₹550,https://m.media-amazon.com/images/I/811AxL+qTpL._AC_UY218_.jpg
Half Moon 35L Water Resistant 15.6 inch Laptop Bag for MenBackpack for Men, Navy Blue | Office Bag for MenOffice Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips  3.9 out of 5 stars 16,390  Deal of the Day  ₹6,3.9  stars,16,390,649,₹649,https://m.media-amazon.com/images/I/81PtF30TLUL._AC_UY218_.jpg
Gear Aspire 30L Water Restant Office Laptop BagBackpack for MenWomen(Black),4.4  stars,5,781,1085,₹1085,https://m.media-amazon.com/images/I/81BCsKS7WuL._AC_UY218_.jpg
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)  3.9 out of 5 stars 962  Limited time deal  ₹,3.9  stars,962,499,₹499,https://m.media-amazon.com/images/I/91l1HMIFTtL._AC_UY218_.jpg
FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls,4.0  stars,4,657,679,₹679,https://m.media-amazon.com/images/I/61egMfcDWlL._AC_UY218_.jpg
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop BagBackpack for MenWomen-Brown,4.4  stars,5,857,988,₹988,https://m.media-amazon.com/images/I/91x7qLAsTPL._AC_UY218_.jpg
Best sellerin Rucksacks & Trekking Backpacks  Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment,4.3  stars,5,384,849,₹849,https://m.media-amazon.com/images/I/71GxZAYa6UL._AC_UY218_.jpg
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,4.3  stars,6,186,899,₹899,https://m.media-amazon.com/images/I/71-8gqDAalL._AC_UY218_.jpg
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover  3.9 out of 5 stars 3,081  ₹8,3.9  stars,3,081,849,₹849,https://m.media-amazon.com/images/I/61ngtvjugIL._AC_UY218_.jpg
SAFARI 15 Ltrs Sea Blue CasualSchoolCollege Backpack (DAYPACKNEO15CBSEB),4.0  stars,19,777,248,₹248,https://m.media-amazon.com/images/I/61kmCas5OCL._AC_UY218_.jpg
FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls,4.0  stars,4,657,679,₹679,https://m.media-amazon.com/images/I/71PRQKJNdHL._AC_UY218_.jpg
